"","a_option","b_option","original_prompt","verb","instances_prompt","duration_prompt","more_prompt"
"1","A:蝴蝶在院子里飞了","B:蜻蜓在院子里飞了飞","谁飞的次数多?","飞","A或B飞的次数多","A或B飞的时间多","A或B飞得多"
"2","A:蝴蝶在院子里飞了","B:蜻蜓在院子里飞了飞","谁飞得多?","飞","A或B飞的次数多","A或B飞的时间多","A或B飞得多"
"3","A:蝴蝶在院子里飞了","B:蜻蜓在院子里飞了飞","谁飞的时间多?","飞","A或B飞的次数多","A或B飞的时间多","A或B飞得多"
"4","A:小芳在哈尔滨的雪地里滑了","B:小李在哈尔滨的雪地里滑了滑","谁滑的次数多?","滑","A或B滑的次数多","A或B滑的时间多","A或B滑得多"
"5","A:小芳在哈尔滨的雪地里滑了","B:小李在哈尔滨的雪地里滑了滑","谁滑得多?","滑","A或B滑的次数多","A或B滑的时间多","A或B滑得多"
"6","A:小芳在哈尔滨的雪地里滑了","B:小李在哈尔滨的雪地里滑了滑","谁滑的时间多?","滑","A或B滑的次数多","A或B滑的时间多","A或B滑得多"
"7","A:今晚玛丽去庙会逛了","B:今晚凯特去庙会逛了逛","谁逛的次数多?","逛","A或B逛的次数多","A或B逛的时间多","A或B逛得多"
"8","A:今晚玛丽去庙会逛了","B:今晚凯特去庙会逛了逛","谁逛得多?","逛","A或B逛的次数多","A或B逛的时间多","A或B逛得多"
"9","A:今晚玛丽去庙会逛了","B:今晚凯特去庙会逛了逛","谁逛的时间多?","逛","A或B逛的次数多","A或B逛的时间多","A或B逛得多"
"10","A:小明在体育课跳了","B:小亮在体育课跳了跳","谁跳的次数多?","跳","A或B跳的次数多","A或B跳的时间多","A或B跳得多"
"11","A:小明在体育课跳了","B:小亮在体育课跳了跳","谁跳得多?","跳","A或B跳的次数多","A或B跳的时间多","A或B跳得多"
"12","A:小明在体育课跳了","B:小亮在体育课跳了跳","谁跳的时间多?","跳","A或B跳的次数多","A或B跳的时间多","A或B跳得多"
"13","A:有只蚕在树叶上爬了","B:有只虫在树叶上爬了爬","谁爬的次数多?","爬","A或B爬的次数多","A或B爬的时间多","A或B爬得多"
"14","A:有只蚕在树叶上爬了","B:有只虫在树叶上爬了爬","谁爬得多?","爬","A或B爬的次数多","A或B爬的时间多","A或B爬得多"
"15","A::有只蚕在树叶上爬了","B:有只虫在树叶上爬了爬","谁爬的时间多?","爬","A或B爬的次数多","A或B爬的时间多","A或B爬得多"
"16","A:小王在海里奋力向前游了","B:小赵在海里奋力向前游了游","谁游的次数多?","游","A或B游的次数多","A或B游的时间多","A或B游得多"
"17","A:小王在海里奋力向前游了","B:小赵在海里奋力向前游了游","谁游得多?","游","A或B游的次数多","A或B游的时间多","A或B游得多"
