,model,option_A,response_type,response
<function openAIQuery_03 at 0x7fc96f9edd80>,看烟花,看烟花,A, A: 看烟花
<function openAIQuery_03 at 0x7fc96f9edd80>,看打架,看看打架,A, A: 看打架
<function openAIQuery_03 at 0x7fc96f9edd80>,买礼物,买买礼物,A, A: 买礼物
<function openAIQuery_03 at 0x7fc96f9edd80>,买材料,买买材料,A, A: 买材料
<function openAIQuery_03 at 0x7fc96f9edd80>,听音乐,听听音乐,A, A:听音乐
<function openAIQuery_03 at 0x7fc96f9edd80>,听新闻,听听新闻,A, A:听新闻
<function openAIQuery_03 at 0x7fc96f9edd80>,帮妈妈,帮帮妈妈,A, A:帮妈妈
<function openAIQuery_03 at 0x7fc96f9edd80>,帮小偷,帮帮小偷,A, A:帮小偷
<function openAIQuery_03 at 0x7fc96f9edd80>,在岛上走,在岛上走走,A, A: 在岛上走
<function openAIQuery_03 at 0x7fc96f9edd80>,在楼道走,在楼道走走,B, B: 在楼道走走
<function openAIQuery_03 at 0x7fc96f9edd80>,跟朋友见面,跟朋友见见面,A, A: 跟朋友见面
<function openAIQuery_03 at 0x7fc96f9edd80>,跟老师见面,跟朋友见见面,A, A:跟老师见面
<function openAIQuery_03 at 0x7fc96f9edd80>,洗水果,洗洗水果,A, A:洗水果
<function openAIQuery_03 at 0x7fc96f9edd80>,洗手,洗洗手,B, B:洗洗手
<function openAIQuery_03 at 0x7fc96f9edd80>,陪小孩,陪陪小孩,B, B:陪陪小孩
<function openAIQuery_03 at 0x7fc96f9edd80>,陪犯人,陪陪犯人,A, A: 陪犯人
<function openAIQuery_03 at 0x7fc96f9edd80>,吃蛋糕,吃吃蛋糕,A, A: 吃蛋糕
<function openAIQuery_03 at 0x7fc96f9edd80>,吃药,吃吃药,A,A: 吃药
<function openAIQuery_03 at 0x7fc96f9edd80>,问爸爸,问问爸爸,A, A:问爸爸
<function openAIQuery_03 at 0x7fc96f9edd80>,问警察,问问警察,A, A:问警察
<function openAIQuery_03 at 0x7fc96f9edd80>,爬树,爬爬树,A, A:爬树
<function openAIQuery_03 at 0x7fc96f9edd80>,爬梯子,爬爬梯子,A, A: 爬梯子
<function openAIQuery_03 at 0x7fc96f9edd80>,讲愿望,讲讲愿望,A, A: 讲愿望
<function openAIQuery_03 at 0x7fc96f9edd80>,讲错误,讲讲错误,A, A:讲错误
<function openAIQuery_03 at 0x7fc96f9edd80>,试鞋子,试试鞋子,A, A:试鞋子
<function openAIQuery_03 at 0x7fc96f9edd80>,试武器,试试武器,A, A: 试武器
<function openAIQuery_03 at 0x7fc96f9edd80>,尝点心,尝尝点心,A, A:尝点心
<function openAIQuery_03 at 0x7fc96f9edd80>,尝蜘蛛,尝尝蜘蛛,A, A:尝蜘蛛
<function openAIQuery_03 at 0x7fc96f9edd80>,坐游艇,坐坐游艇,A, A:坐游艇
<function openAIQuery_03 at 0x7fc96f9edd80>,坐出租车,坐坐出租车,A, A:坐出租车
<function openAIQuery_03 at 0x7fc96f9edd80>,打盹,打打盹,A, A:打盹
